County,Subcounty,PCN,pcn_location,supporting_partner,establishment_status,Proportion of functional Community Health Committees  in the PCN,Proportion of Health facilities that have received supportive supervision in the PCN,Functional PCN Management committee,Functionallity of MDTs ,Governance Score,Governance Weighted Score,POPULATION HEALTH NEEDS ,Number of population profiling assessments conducted,Proportion of population health needs that have been addressed ,Number of wellness activities conducted within the PCN ,Population Needs Score,Population Needs Weighted Score,CAPACITY READINESS ,1.HPTS ,Proportion  of  facilities in the PCN that had all 22  tracer pharmaceuticals  at the time of assessment ,Proportion of facilities in the PCN that have all 23 tracer non-pharmaceuticals at the time of assessment ,Availability of the whole blood and blood components in the hospitals ,Percentage of Health facilities with stock out on any of the 22 tracer pharmaceuticals for 7 consecutive days in a month*,Percentage of Health facilities with stock out on any of the 22 tracer non-pharmaceuticals for 7 consecutive days in a month*,Proportion of hospitals with comprehensive lab services within the PCN,Proportion of spokes with basic lab services within the PCN,2.EQUIPMENT,Proportion of Facilities within the PCN with all basic  tracer equipment available and functional **List provided below the  template,Capacity Readiness Score,Capacity Readiness Weighted Score,HEALTH CARE FINANCING ,Proportion of clients accessing Health Services using SHIF,Proportion of the target Health Facilities empanneled on SHA within the PCN,Proportion of Health Facilities in the PCN making SHA claims,Proportion of claims reimbursed to HFs within the PCN,Proportion of FIF collected rolled back to the facilities within PCN,Number of people waived for user fees in Hospitals within the PCN,Total amount of user fees  waived in Health care Facilities within the PCN,Healthcare Financing Score,Healthcare Financing Weighted Score,HEALTH INFRASTRUCTURE,Proportion of health facilities with accessible road network,Proportion of  facilities with the appropriate WASH facilities ***,Proportion of  facilities with the tracer list of infrastructure as per KEPH standards,Proportion of facilties with a reliable power source,PCN access to adequate ambulance services,Ambulance request Score,Health infrastructure Score,Health infrastructure Weighted Score,HMIS/ DIGITAL HEALTH,Proprtion of facilties with  reliable internet connection,Proportion of facilities in the PCN with the key OPD reporting tools (6),No of performance and data quality review meetings held quarterly within the PCN,Proportion of facilities with ICT infrastructure ,Proportion of facilities in a PCN with an integrated functional EMR,Proportion of CHUs within the PCN reporting monthly,HMIS Score,HMIS Weighted Score,HRH ,Core HRH density,Doctor to population ratio,Clinical officer to  population ratio,Nurse to population ratio,CHA/CHO  to population ratio,Proportion of CHPs trained on basic modules,Health care workers sensitized on PHC /PCN ,Does the PCN have a mechanism to enhance health workers skills?,Proportion of health workers who have undergone a skills/ competency buliding course within the last 2 years,HRH Score,HRH Weighted Score,SERVICE DELIVERY,SERVICE DELIVERY PROCESSES ,Number of outreaches conducted  by the MDT,Number of in-reaches conducted within the PCN,Service Delivery Score ,Service Delivery Weighted Score ,QUALITY OF CARE -MANAGEMENT SYSTEMS ,Proportion of hospitals with functional facility quality improvement teams (QIT),Proportion of spokes with functional facility work improvement teams (WIT),Average availability of selected IPC items  *(items defined below),QoC Management Systems Score,QUALITY OF CARE -PHC CORE SYSTEMS,Adherence to clinical guidelines for Primary health care facilities,Provider Availability (absenteeism) for Primary health care facilities,QoC PHC Core Systems Score,QUALITY OF CARE OUTCOMES ,Proportion of facilities conducting MPDSR,"Fresh Stillbirth rate per 1,000 births in health facilities","Number of maternal deaths reported in Health facilities per 100,000 live births",Proportion of maternal deaths Audited,"Number of neonatal deaths per 1,000 live births",Proportion of neonatal deaths audited ,TB Treatment Success Rate,QoC Outcomes Score,QoC Outcomes Weighted Score,SOCIAL ACCOUNTABILITY,Proportion of facilities which have conducted a client satisfaction survey,No. of MDT engagements with the community ,No. of health facilities with functional GRMs ,Social Accountability Score,Social Accountability Weighted Score,MULTISECTORAL PARTNERSHIPS AND COORDINATION,Proportion of multi-sectoral actions implemented,Number of inter- PCN peer to peer learning sessions held ,Multisectoral Partnerships and Coordination Score,Multisectoral Partnerships and Coordination Weighted Score,INNOVATIONS AND LEARNING ,Number of PHC related innovations/ best practice implemented/adapted,Innovations and Learning Score,Innovations and Learning Weighted Score,Total PCN Score (Total Weighted Score)
Kiambu,Kabete,Kabete PCN,"-1.245,36.737",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiambu,Kiambaa,Kiambaa PCN,"-1.1719,36.8356",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiambu,Githunguri,Githunguri PCN,"-1.058,36.778",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiambu,Gatundu North,Gatundu North PCN,"-0.985,36.939",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiambu,Kiambu Town,Kiambu Town PCN,"-1.1719,36.8356",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiambu,Gatundu South,Gatundu South PCN,"-0.985,36.939",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiambu,Ruiru,Ruiru PCN,"-1.148,36.958",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiambu,Juja,Juja PCN,"-1.103,37.01",LVCT & EGPAF (CDC),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiambu,Thika Town,Thika Town PCN,"-1.0333,37.0693",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilifi,Rabai,Rabai PCN,"-3.912,39.58",UNICEF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilifi,Kaloleni,Kaloleni PCN,"-3.843,39.533",UNICEF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilifi,Kilifi south,Kilifi south PCN,"-3.95,39.74",UNICEF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilifi,Ganze,Ganze PCN,"-3.417,39.475",USAID Stawisha Pwani,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilifi,Malindi,Malindi PCN,"-3.2192,40.1169",USAID Stawisha Pwani,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilifi,Magarini,Magarini PCN,"-3.276,40.061",UNICEF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilifi,Kilifi North,Kilifi North PCN,"-3.6305,39.8499","Kilifi county, USAID Tujitegemee and Uzazi Salama ",pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirinyaga,Mwea East/Kirinyaga South,Mwea East/Kirinyaga South PCN,"-0.674,37.382",LVCT (CDC),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirinyaga,Mwea West/ Kirinyaga North,Mwea West/ Kirinyaga North PCN,"-0.498,37.28",County support,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirinyaga,Kirinyaga East,Kirinyaga East PCN,"-0.475,37.315",GoK,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirinyaga,Kirinyaga West,Kirinyaga West PCN,"-0.587,37.302",GoK,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirinyaga,Kirinyaga Central,Kirinyaga Central PCN,"-0.498,37.28",GoK,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisii,Nyaribari Chache,Nyaribari Chache PCN,"0.6773,34.7796",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisii,Bomachoge borabu,Bomachoge borabu PCN,"0.7930,34.735",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisii,Bobasi,Bobasi PCN,"0.9300,34.72",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisii,Nyaribari Masaba,Nyaribari Masaba PCN,"0.7080,34.707",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisii,Bonchari,Bonchari PCN,"0.8010,34.723",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisii,South Mugirango,South Mugirango PCN,"0.5630,34.934",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisii,Kitutu Chache North,Kitutu Chache North PCN,"0.6773,34.7796",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisii,Kitutu Chache South,Kitutu Chache South PCN,"0.6773,34.7796",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisii,Bomachoge Chache,Bomachoge Chache PCN,"0.8460,34.739",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisumu,Nyando ,Nyando  PCN,"0.1740,34.916",UNICEF,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisumu,Muhoroni ,Muhoroni  PCN,"0.1530,35.191",UNICEF,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisumu,Seme ,Seme  PCN,"0.0940,34.514",UNICEF,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisumu,Nyakach ,Nyakach  PCN,"0.3890,34.875",UNICEF,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisumu,Kisumu East ,Kisumu East  PCN,"0.1020,34.767",UNICEF,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisumu,Kisumu West,Kisumu West PCN,"0.0070,34.602",UNICEF,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisumu,Kisumu Central,Kisumu Central PCN,"0.1022,34.7617",UNICEF,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitui,Mwingi West,Mwingi West PCN,"0.9360,38.061",PATH & Wellness,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitui,Kitui West,Kitui West PCN,"1.3220,38.018",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitui,Kitui East,Kitui East PCN,"1.8410,38.208",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitui,Kitui Central,Kitui Central PCN,"1.3669,38.0106",CIHEB (CDC),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitui,Kitui Rural,Kitui Rural PCN,"1.3669,38.0106",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitui,Kitui South,Kitui South PCN,"2.0370,38.165",CMMB,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitui,Mwingi North,Mwingi North PCN,"0.5170,38.287",CMMB,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitui,Mwingi Central,Mwingi Central PCN,"0.9370,38.059",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwale ,Lunga Lunga,Lunga Lunga PCN,"4.5650,39.122",AMREF (J&J Elma),gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwale ,Kinango,Kinango PCN,"4.1370,39.328",GoK,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwale ,Msambweni,Msambweni PCN,"4.4680,39.474",GoK,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwale ,Matuga,Matuga PCN,"4.1730,39.451",GoK,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwale ,Samburu ,Samburu  PCN,"4.2980,39.318",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laikipia,Laikipia West,Laikipia West PCN,"0.273,36.538",Tujenge Jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
